image_a_name,image_a_url,image_b_name,image_b_url,weight (number of shared labels),shared_labels
FpsDtlRXwAIkgL4.jpg,https://pbs.twimg.com/media/FpsDtlRXwAIkgL4.jpg,GG8ObktWMAAEZdE.jpg,https://pbs.twimg.com/media/GG8ObktWMAAEZdE.jpg,10,"['Person', 'Suit', 'Clothing', 'Head', 'Male', 'Man', 'Face', 'Adult', 'Formal Wear', 'Text']"
FpsDtlRXwAIkgL4.jpg,https://pbs.twimg.com/media/FpsDtlRXwAIkgL4.jpg,GGyHm70WoAAHs9i.jpg,https://pbs.twimg.com/media/GGyHm70WoAAHs9i.jpg,10,"['Person', 'Suit', 'Clothing', 'Head', 'Male', 'Man', 'Face', 'Adult', 'Formal Wear', 'Text']"
FpsDtlRXwAIkgL4.jpg,https://pbs.twimg.com/media/FpsDtlRXwAIkgL4.jpg,GHA71cCXIAEJJpV.jpg,https://pbs.twimg.com/media/GHA71cCXIAEJJpV.jpg,10,"['Person', 'Head', 'Clothing', 'Suit', 'Male', 'Man', 'Face', 'Adult', 'Formal Wear', 'Text']"
FpsDtlRXwAIkgL4.jpg,https://pbs.twimg.com/media/FpsDtlRXwAIkgL4.jpg,GHBPFz0XgAA-gSG.jpg,https://pbs.twimg.com/media/GHBPFz0XgAA-gSG.jpg,10,"['Person', 'Suit', 'Clothing', 'Head', 'Male', 'Man', 'Face', 'Adult', 'Formal Wear', 'Text']"
FpsDtlRXwAIkgL4.jpg,https://pbs.twimg.com/media/FpsDtlRXwAIkgL4.jpg,GHCzkqCXEAAQUQl.jpg,https://pbs.twimg.com/media/GHCzkqCXEAAQUQl.jpg,10,"['Person', 'Suit', 'Clothing', 'Head', 'Male', 'Man', 'Face', 'Adult', 'Formal Wear', 'Text']"
GEr6ev-WQAAsnCH.jpg,https://pbs.twimg.com/media/GEr6ev-WQAAsnCH.jpg,GGu1UgtWMAAb9cy.jpg,https://pbs.twimg.com/media/GGu1UgtWMAAb9cy.jpg,10,"['Person', 'Poster', 'Head', 'People', 'Crowd', 'Male', 'Man', 'Face', 'Advertisement', 'Adult']"
GFlO62yWgAAjS1v.jpg,https://pbs.twimg.com/media/GFlO62yWgAAjS1v.jpg,GG9LSM3aUAA4A0i.jpg,https://pbs.twimg.com/media/GG9LSM3aUAA4A0i.jpg,10,"['Body Part', 'Person', 'Photography', 'Head', 'Face', 'Accessories', 'Portrait', 'Finger', 'Glasses', 'Hand']"
GFlO62yWgAAjS1v.jpg,https://pbs.twimg.com/media/GFlO62yWgAAjS1v.jpg,GHClON-XIAAVdx5.jpg,https://pbs.twimg.com/media/GHClON-XIAAVdx5.jpg,10,"['Person', 'Poster', 'Photography', 'Head', 'People', 'Face', 'Advertisement', 'Accessories', 'Portrait', 'Glasses']"
GFlO62yWgAAjS1v.jpg,https://pbs.twimg.com/media/GFlO62yWgAAjS1v.jpg,GHFimXqXUAEZBaH.jpg,https://pbs.twimg.com/media/GHFimXqXUAEZBaH.jpg,11,"['Body Part', 'Person', 'Photography', 'Head', 'People', 'Face', 'Accessories', 'Portrait', 'Finger', 'Glasses', 'Hand']"
GFlO62yWgAAjS1v.jpg,https://pbs.twimg.com/media/GFlO62yWgAAjS1v.jpg,GHHywO2WsAAeht_.jpg,https://pbs.twimg.com/media/GHHywO2WsAAeht_.jpg,10,"['Body Part', 'Person', 'Photography', 'Head', 'Face', 'Accessories', 'Portrait', 'Finger', 'Glasses', 'Hand']"
GFlO62yWgAAjS1v.jpg,https://pbs.twimg.com/media/GFlO62yWgAAjS1v.jpg,GHQHTjmXIAAEe4A.jpg,https://pbs.twimg.com/media/GHQHTjmXIAAEe4A.jpg,10,"['Person', 'Poster', 'Photography', 'Head', 'People', 'Face', 'Advertisement', 'Accessories', 'Portrait', 'Glasses']"
GFlO62yWgAAjS1v.jpg,https://pbs.twimg.com/media/GFlO62yWgAAjS1v.jpg,GHSCM4CbEAA0hui.jpg,https://pbs.twimg.com/media/GHSCM4CbEAA0hui.jpg,11,"['Body Part', 'Person', 'Photography', 'Head', 'People', 'Face', 'Accessories', 'Portrait', 'Finger', 'Glasses', 'Hand']"
GFlO62yWgAAjS1v.jpg,https://pbs.twimg.com/media/GFlO62yWgAAjS1v.jpg,GHSk8ymWIAA-4EE.jpg,https://pbs.twimg.com/media/GHSk8ymWIAA-4EE.jpg,10,"['Person', 'Poster', 'Photography', 'Head', 'People', 'Face', 'Advertisement', 'Accessories', 'Portrait', 'Glasses']"
GG-Gz1-XQAAX_1x.jpg,https://pbs.twimg.com/media/GG-Gz1-XQAAX_1x.jpg,GHP2hDZWsAAiyPe.jpg,https://pbs.twimg.com/media/GHP2hDZWsAAiyPe.jpg,10,"['Person', 'Screen', 'Hardware', 'Electronics', 'Clothing', 'Male', 'Man', 'Monitor', 'Adult', 'Computer Hardware']"
GG-Gz1-XQAAX_1x.jpg,https://pbs.twimg.com/media/GG-Gz1-XQAAX_1x.jpg,GHQ7gPYX0AA_-EO.jpg,https://pbs.twimg.com/media/GHQ7gPYX0AA_-EO.jpg,11,"['Person', 'Screen', 'Hardware', 'Electronics', 'Clothing', 'Male', 'Man', 'Monitor', 'Phone', 'Adult', 'Computer Hardware']"
GG-Gz1-XQAAX_1x.jpg,https://pbs.twimg.com/media/GG-Gz1-XQAAX_1x.jpg,GHQEycSWYAARt7m.jpg,https://pbs.twimg.com/media/GHQEycSWYAARt7m.jpg,10,"['Person', 'Screen', 'Hardware', 'Electronics', 'Clothing', 'Male', 'Man', 'Monitor', 'Adult', 'Computer Hardware']"
GG-Gz1-XQAAX_1x.jpg,https://pbs.twimg.com/media/GG-Gz1-XQAAX_1x.jpg,GHQGnuuXMAArlDl.jpg,https://pbs.twimg.com/media/GHQGnuuXMAArlDl.jpg,10,"['Person', 'Screen', 'Hardware', 'Electronics', 'Clothing', 'Male', 'Man', 'Monitor', 'Adult', 'Computer Hardware']"
GG-Gz1-XQAAX_1x.jpg,https://pbs.twimg.com/media/GG-Gz1-XQAAX_1x.jpg,GHQVUIQWMAAmsZ2.jpg,https://pbs.twimg.com/media/GHQVUIQWMAAmsZ2.jpg,10,"['Person', 'Screen', 'Hardware', 'Electronics', 'Clothing', 'Male', 'Man', 'Monitor', 'Adult', 'Computer Hardware']"
